TIMESTAMPS,TIMES,FILES
1749119971,2025-06-05 12:39:31,scope2__ALL_20250605123930762.csv
1749120067,2025-06-05 12:41:07,scope2__ALL_20250605124106765.csv
1749120187,2025-06-05 12:43:07,scope2__ALL_20250605124306763.csv
1749120307,2025-06-05 12:45:07,scope2__ALL_20250605124506760.csv
1749120403,2025-06-05 12:46:43,scope2__ALL_20250605124642763.csv
1749120715,2025-06-05 12:51:55,scope2__ALL_20250605125154767.csv
1749120719,2025-06-05 12:51:59,scope2__ALL_20250605125158649.csv
1749120739,2025-06-05 12:52:19,scope2__ALL_20250605125218753.csv
1749120763,2025-06-05 12:52:43,scope2__ALL_20250605125242761.csv
1749120787,2025-06-05 12:53:07,scope2__ALL_20250605125306757.csv
1749120811,2025-06-05 12:53:31,scope2__ALL_20250605125330760.csv
1749120835,2025-06-05 12:53:55,scope2__ALL_20250605125354754.csv
1749120859,2025-06-05 12:54:19,scope2__ALL_20250605125418753.csv
1749120883,2025-06-05 12:54:43,scope2__ALL_20250605125442761.csv
1749120907,2025-06-05 12:55:07,scope2__ALL_20250605125506755.csv
1749121298,2025-06-05 13:01:38,scope2__ALL_20250605130137797.csv
1749121299,2025-06-05 13:01:39,scope2__ALL_20250605130138709.csv
1749121300,2025-06-05 13:01:40,scope2__ALL_20250605130139704.csv
1749121301,2025-06-05 13:01:41,scope2__ALL_20250605130140737.csv
1749121302,2025-06-05 13:01:42,scope2__ALL_20250605130141707.csv
1749121303,2025-06-05 13:01:43,scope2__ALL_20250605130142760.csv
1749121304,2025-06-05 13:01:44,scope2__ALL_20250605130143872.csv
1749121305,2025-06-05 13:01:45,scope2__ALL_20250605130144614.csv
1749121306,2025-06-05 13:01:46,scope2__ALL_20250605130145573.csv
1749121307,2025-06-05 13:01:47,scope2__ALL_20250605130146763.csv
1749121308,2025-06-05 13:01:48,scope2__ALL_20250605130147739.csv
1749121309,2025-06-05 13:01:49,scope2__ALL_20250605130148741.csv
1749121310,2025-06-05 13:01:50,scope2__ALL_20250605130149806.csv
1749121311,2025-06-05 13:01:51,scope2__ALL_20250605130150744.csv
1749121312,2025-06-05 13:01:52,scope2__ALL_20250605130151790.csv
